air_quality_PM2_5,air_quality_us_epa_index,month_name
1.8,1,September
16.5,2,September
2.6,1,September
7.2,1,September
14,1,September
22.1,2,September
7.8,1,September
2.1,1,September
20.5,2,September
11.6,1,September
3.6,1,September
2.3,1,September
3.4,1,September
8.7,1,September
7.1,1,September
17.3,2,September
1.9,1,September
21.4,2,September
5.1,1,September
45.5,3,September
36.4,2,September
0.7,1,September
2.3,1,September
4.7,1,September
3.9,1,September
8.1,1,September
74,4,September
30.9,2,September
17.2,2,September
19.5,2,September
7.2,1,September
2.9,1,September
13.6,1,September
12.3,1,September
6.9,1,September
1.5,1,September
1.7,1,September
18,2,September
4.4,1,September
14.8,1,September
25.8,2,September
2.6,1,September
98,4,September
38.8,2,September
2.2,1,September
6.6,1,September
11.9,1,September
4.1,1,September
10.4,1,September
9.1,1,September
0.8,1,September
8.9,1,September
76.2,4,September
6.7,1,September
7.1,1,September
6.2,1,September
26.3,2,September
24.4,2,September
2.8,1,September
4.5,1,September
7.1,1,September
9.8,1,September
16.9,2,September
1.9,1,September
9.3,1,September
814.3,6,September
360,6,September
7.6,1,September
3.2,1,September
6.7,1,September
17.4,2,September
8.8,1,September
25.2,2,September
13.7,1,September
27.7,2,September
6.7,1,September
9.4,1,September
61.4,3,September
1.4,1,September
13.1,1,September
11.2,1,September
18.2,2,September
7.3,1,September
3.1,1,September
34.9,2,September
1,1,September
21.1,2,September
24.8,2,September
1.8,1,September
1,1,September
75.6,4,September
4.6,1,September
2.6,1,September
14.9,1,September
14.4,1,September
10.4,1,September
7.6,1,September
1.1,1,September
33.1,2,September
3.9,1,September
1,1,September
3.2,1,September
12,1,September
5.5,1,September
2.6,1,September
8.3,1,September
2,1,September
110.7,4,September
467,6,September
49.7,3,September
27.5,2,September
25.8,2,September
19.6,2,September
5.5,1,September
6.2,1,September
65.8,4,September
16.6,2,September
5.2,1,September
31.3,2,September
4,1,September
49.4,3,September
7.9,1,September
7.7,1,September
9.3,1,September
13,1,September
7.7,1,September
6.1,1,September
5.2,1,September
18.7,2,September
7.5,1,September
9.1,1,September
5.9,1,September
7.6,1,September
81.3,4,September
1,1,September
11.8,1,September
11.6,1,September
2.8,1,September
6.8,1,September
3.9,1,September
11.5,1,September
0.5,1,September
0.8,1,September
18.2,2,September
37.6,2,September
4.4,1,September
2.6,1,September
12,1,September
2.1,1,September
10,1,September
6.3,1,September
200.8,5,September
14.9,1,September
2.2,1,September
4,1,September
4.6,1,September
9.5,1,September
14.2,1,September
5,1,September
0.7,1,September
37.8,2,September
79.4,4,September
0.6,1,September
0.7,1,September
15.7,2,September
3.3,1,September
4.8,1,September
4.1,1,September
10.2,1,September
13.3,1,September
8.7,1,September
204.7,5,September
6.2,1,September
3.9,1,September
25,2,September
1.8,1,September
1.5,1,September
2.5,1,September
2.3,1,September
4.1,1,September
12.8,1,September
36.5,2,September
4.4,1,September
7.2,1,September
5,1,September
11.4,1,September
37.1,2,September
9.3,1,September
12.2,1,September
0.7,1,September
9.6,1,September
60.1,3,September
18.7,2,September
4.5,1,September
16.8,2,September
2.1,1,September
27.6,2,September
2.6,1,September
1.4,1,September
19.4,2,September
