country,last_updated,uv_index,Continent,month_name,year_name
Malawi,31/08/2023 01:45,1,Africa,August,2023
Malaysia,31/08/2023 07:45,1,Asia,August,2023
Maldives,31/08/2023 04:45,1,Indian,August,2023
Mali,30/08/2023 23:45,1,Africa,August,2023
Malta,31/08/2023 01:45,1,Europe,August,2023
Marshall Islands,31/08/2023 11:45,6,Pacific,August,2023
Mauritania,30/08/2023 23:45,1,Africa,August,2023
Mauritius,31/08/2023 03:45,1,Indian,August,2023
Mexico,30/08/2023 17:45,6,America,August,2023
Micronesia,31/08/2023 10:45,6,Pacific,August,2023
Russia,31/08/2023 06:45,5,Asia,August,2023
